tensor(21.4973, grad_fn=<MseLossBackward0>)
tensor(19.7196, grad_fn=<MseLossBackward0>)
tensor(18.0700, grad_fn=<MseLossBackward0>)
tensor(16.5380, grad_fn=<MseLossBackward0>)
tensor(15.1141, grad_fn=<MseLossBackward0>)
tensor(13.7896, grad_fn=<MseLossBackward0>)
tensor(12.5566, grad_fn=<MseLossBackward0>)
tensor(11.4078, grad_fn=<MseLossBackward0>)
tensor(10.3368, grad_fn=<MseLossBackward0>)
tensor(9.3382, grad_fn=<MseLossBackward0>)
tensor(8.4079, grad_fn=<MseLossBackward0>)
tensor(7.5425, grad_fn=<MseLossBackward0>)
tensor(6.7394, grad_fn=<MseLossBackward0>)
tensor(5.9958, grad_fn=<MseLossBackward0>)
tensor(5.3093, grad_fn=<MseLossBackward0>)
tensor(4.6776, grad_fn=<MseLossBackward0>)
tensor(4.0983, grad_fn=<MseLossBackward0>)
tensor(3.5689, grad_fn=<MseLossBackward0>)
tensor(3.0874, grad_fn=<MseLossBackward0>)
tensor(2.6516, grad_fn=<MseLossBackward0>)
tensor(2.2592, grad_fn=<MseLossBackward0>)
tensor(1.9081, grad_fn=<MseLossBackward0>)
tensor(1.5962, grad_fn=<MseLossBackward0>)
tensor(1.3212, grad_fn=<MseLossBackward0>)
tensor(1.0808, grad_fn=<MseLossBackward0>)
tensor(0.8729, grad_fn=<MseLossBackward0>)
tensor(0.6950, grad_fn=<MseLossBackward0>)
tensor(0.5447, grad_fn=<MseLossBackward0>)
tensor(0.4197, grad_fn=<MseLossBackward0>)
tensor(0.3174, grad_fn=<MseLossBackward0>)
tensor(0.2353, grad_fn=<MseLossBackward0>)
tensor(0.1708, grad_fn=<MseLossBackward0>)
tensor(0.1214, grad_fn=<MseLossBackward0>)
tensor(0.0847, grad_fn=<MseLossBackward0>)
tensor(0.0583, grad_fn=<MseLossBackward0>)
tensor(0.0400, grad_fn=<MseLossBackward0>)
tensor(0.0279, grad_fn=<MseLossBackward0>)
tensor(0.0202, grad_fn=<MseLossBackward0>)
tensor(0.0156, grad_fn=<MseLossBackward0>)
tensor(0.0130, grad_fn=<MseLossBackward0>)
tensor(0.0117, grad_fn=<MseLossBackward0>)
tensor(0.0110, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.0105, grad_fn=<MseLossBackward0>)
