tensor(1.3783, grad_fn=<MseLossBackward0>)
tensor(1.3527, grad_fn=<MseLossBackward0>)
tensor(1.3277, grad_fn=<MseLossBackward0>)
tensor(1.3033, grad_fn=<MseLossBackward0>)
tensor(1.2793, grad_fn=<MseLossBackward0>)
tensor(1.2559, grad_fn=<MseLossBackward0>)
tensor(1.2329, grad_fn=<MseLossBackward0>)
tensor(1.2104, grad_fn=<MseLossBackward0>)
tensor(1.1884, grad_fn=<MseLossBackward0>)
tensor(1.1667, grad_fn=<MseLossBackward0>)
tensor(1.1454, grad_fn=<MseLossBackward0>)
tensor(1.1245, grad_fn=<MseLossBackward0>)
tensor(1.1040, grad_fn=<MseLossBackward0>)
tensor(1.0838, grad_fn=<MseLossBackward0>)
tensor(1.0639, grad_fn=<MseLossBackward0>)
tensor(1.0443, grad_fn=<MseLossBackward0>)
tensor(1.0250, grad_fn=<MseLossBackward0>)
tensor(1.0060, grad_fn=<MseLossBackward0>)
tensor(0.9872, grad_fn=<MseLossBackward0>)
tensor(0.9687, grad_fn=<MseLossBackward0>)
tensor(0.9503, grad_fn=<MseLossBackward0>)
tensor(0.9322, grad_fn=<MseLossBackward0>)
tensor(0.9142, grad_fn=<MseLossBackward0>)
tensor(0.8964, grad_fn=<MseLossBackward0>)
tensor(0.8788, grad_fn=<MseLossBackward0>)
tensor(0.8613, grad_fn=<MseLossBackward0>)
tensor(0.8441, grad_fn=<MseLossBackward0>)
tensor(0.8270, grad_fn=<MseLossBackward0>)
tensor(0.8102, grad_fn=<MseLossBackward0>)
tensor(0.7935, grad_fn=<MseLossBackward0>)
tensor(0.7770, grad_fn=<MseLossBackward0>)
tensor(0.7607, grad_fn=<MseLossBackward0>)
tensor(0.7446, grad_fn=<MseLossBackward0>)
tensor(0.7288, grad_fn=<MseLossBackward0>)
tensor(0.7131, grad_fn=<MseLossBackward0>)
tensor(0.6976, grad_fn=<MseLossBackward0>)
tensor(0.6823, grad_fn=<MseLossBackward0>)
tensor(0.6672, grad_fn=<MseLossBackward0>)
tensor(0.6523, grad_fn=<MseLossBackward0>)
tensor(0.6376, grad_fn=<MseLossBackward0>)
