tensor(16701.9941, grad_fn=<MseLossBackward0>)
tensor(15925.6348, grad_fn=<MseLossBackward0>)
tensor(15181.4873, grad_fn=<MseLossBackward0>)
tensor(14467.7217, grad_fn=<MseLossBackward0>)
tensor(13782.7686, grad_fn=<MseLossBackward0>)
tensor(13125.0068, grad_fn=<MseLossBackward0>)
tensor(12492.8770, grad_fn=<MseLossBackward0>)
tensor(11885.0938, grad_fn=<MseLossBackward0>)
tensor(11300.4951, grad_fn=<MseLossBackward0>)
tensor(10738.0195, grad_fn=<MseLossBackward0>)
tensor(10196.6846, grad_fn=<MseLossBackward0>)
tensor(9675.6113, grad_fn=<MseLossBackward0>)
tensor(9174.0264, grad_fn=<MseLossBackward0>)
tensor(8691.1553, grad_fn=<MseLossBackward0>)
tensor(8226.3545, grad_fn=<MseLossBackward0>)
tensor(7779.0215, grad_fn=<MseLossBackward0>)
tensor(7348.6133, grad_fn=<MseLossBackward0>)
tensor(6934.6968, grad_fn=<MseLossBackward0>)
tensor(6536.6475, grad_fn=<MseLossBackward0>)
tensor(6154.0649, grad_fn=<MseLossBackward0>)
tensor(5786.5166, grad_fn=<MseLossBackward0>)
tensor(5433.5933, grad_fn=<MseLossBackward0>)
tensor(5094.9341, grad_fn=<MseLossBackward0>)
tensor(4770.1953, grad_fn=<MseLossBackward0>)
tensor(4459.0869, grad_fn=<MseLossBackward0>)
tensor(4161.3174, grad_fn=<MseLossBackward0>)
tensor(3876.5295, grad_fn=<MseLossBackward0>)
tensor(3604.4360, grad_fn=<MseLossBackward0>)
tensor(3344.7747, grad_fn=<MseLossBackward0>)
tensor(3097.2607, grad_fn=<MseLossBackward0>)
tensor(2861.6460, grad_fn=<MseLossBackward0>)
tensor(2637.6650, grad_fn=<MseLossBackward0>)
tensor(2425.0632, grad_fn=<MseLossBackward0>)
tensor(2223.5962, grad_fn=<MseLossBackward0>)
tensor(2033.0135, grad_fn=<MseLossBackward0>)
tensor(1853.0582, grad_fn=<MseLossBackward0>)
tensor(1683.4937, grad_fn=<MseLossBackward0>)
tensor(1524.0635, grad_fn=<MseLossBackward0>)
