tensor(13862.6523, grad_fn=<MseLossBackward0>)
tensor(13089.7080, grad_fn=<MseLossBackward0>)
tensor(12350.9922, grad_fn=<MseLossBackward0>)
tensor(11644.4277, grad_fn=<MseLossBackward0>)
tensor(10968.2881, grad_fn=<MseLossBackward0>)
tensor(10321.0664, grad_fn=<MseLossBackward0>)
tensor(9701.4102, grad_fn=<MseLossBackward0>)
tensor(9108.1602, grad_fn=<MseLossBackward0>)
tensor(8540.1924, grad_fn=<MseLossBackward0>)
tensor(7996.4458, grad_fn=<MseLossBackward0>)
tensor(7476.0264, grad_fn=<MseLossBackward0>)
tensor(6978.0425, grad_fn=<MseLossBackward0>)
tensor(6501.7539, grad_fn=<MseLossBackward0>)
tensor(6046.3828, grad_fn=<MseLossBackward0>)
tensor(5611.2539, grad_fn=<MseLossBackward0>)
tensor(5195.7041, grad_fn=<MseLossBackward0>)
tensor(4799.1206, grad_fn=<MseLossBackward0>)
tensor(4420.9219, grad_fn=<MseLossBackward0>)
tensor(4060.5894, grad_fn=<MseLossBackward0>)
tensor(3717.6763, grad_fn=<MseLossBackward0>)
tensor(3391.8281, grad_fn=<MseLossBackward0>)
tensor(3082.8008, grad_fn=<MseLossBackward0>)
tensor(2790.5356, grad_fn=<MseLossBackward0>)
tensor(2514.8413, grad_fn=<MseLossBackward0>)
tensor(2255.5996, grad_fn=<MseLossBackward0>)
tensor(2012.7004, grad_fn=<MseLossBackward0>)
tensor(1786.0010, grad_fn=<MseLossBackward0>)
tensor(1575.3217, grad_fn=<MseLossBackward0>)
tensor(1380.4537, grad_fn=<MseLossBackward0>)
tensor(1201.1323, grad_fn=<MseLossBackward0>)
tensor(1037.0087, grad_fn=<MseLossBackward0>)
tensor(887.7311, grad_fn=<MseLossBackward0>)
tensor(752.8704, grad_fn=<MseLossBackward0>)
tensor(631.9498, grad_fn=<MseLossBackward0>)
tensor(524.4396, grad_fn=<MseLossBackward0>)
tensor(429.7595, grad_fn=<MseLossBackward0>)
tensor(347.2665, grad_fn=<MseLossBackward0>)
tensor(276.2521, grad_fn=<MseLossBackward0>)
tensor(215.9611, grad_fn=<MseLossBackward0>)
tensor(165.5725, grad_fn=<MseLossBackward0>)
tensor(124.1840, grad_fn=<MseLossBackward0>)
tensor(90.8699, grad_fn=<MseLossBackward0>)
tensor(64.6704, grad_fn=<MseLossBackward0>)
tensor(44.6058, grad_fn=<MseLossBackward0>)
tensor(29.6998, grad_fn=<MseLossBackward0>)
tensor(19.0051, grad_fn=<MseLossBackward0>)
tensor(11.6303, grad_fn=<MseLossBackward0>)
tensor(6.7697, grad_fn=<MseLossBackward0>)
tensor(3.7265, grad_fn=<MseLossBackward0>)
tensor(1.9281, grad_fn=<MseLossBackward0>)
tensor(0.9323, grad_fn=<MseLossBackward0>)
tensor(0.4196, grad_fn=<MseLossBackward0>)
tensor(0.1761, grad_fn=<MseLossBackward0>)
tensor(0.0704, grad_fn=<MseLossBackward0>)
tensor(0.0288, grad_fn=<MseLossBackward0>)
tensor(0.0142, grad_fn=<MseLossBackward0>)
tensor(0.0096, grad_fn=<MseLossBackward0>)
tensor(0.0083, grad_fn=<MseLossBackward0>)
tensor(0.0080, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.0078, grad_fn=<MseLossBackward0>)
tensor(0.0078, grad_fn=<MseLossBackward0>)
tensor(0.0078, grad_fn=<MseLossBackward0>)
tensor(0.0078, grad_fn=<MseLossBackward0>)
tensor(0.0078, grad_fn=<MseLossBackward0>)
