tensor(112.3557, grad_fn=<MseLossBackward0>)
tensor(102.5703, grad_fn=<MseLossBackward0>)
tensor(93.4458, grad_fn=<MseLossBackward0>)
tensor(84.9405, grad_fn=<MseLossBackward0>)
tensor(77.0176, grad_fn=<MseLossBackward0>)
tensor(69.6422, grad_fn=<MseLossBackward0>)
tensor(62.7835, grad_fn=<MseLossBackward0>)
tensor(56.4128, grad_fn=<MseLossBackward0>)
tensor(50.5047, grad_fn=<MseLossBackward0>)
tensor(45.0357, grad_fn=<MseLossBackward0>)
tensor(39.9847, grad_fn=<MseLossBackward0>)
tensor(35.3314, grad_fn=<MseLossBackward0>)
tensor(31.0571, grad_fn=<MseLossBackward0>)
tensor(27.1438, grad_fn=<MseLossBackward0>)
tensor(23.5749, grad_fn=<MseLossBackward0>)
tensor(20.3342, grad_fn=<MseLossBackward0>)
tensor(17.4061, grad_fn=<MseLossBackward0>)
tensor(14.7755, grad_fn=<MseLossBackward0>)
tensor(12.4267, grad_fn=<MseLossBackward0>)
tensor(10.3445, grad_fn=<MseLossBackward0>)
tensor(8.5137, grad_fn=<MseLossBackward0>)
tensor(6.9188, grad_fn=<MseLossBackward0>)
tensor(5.5439, grad_fn=<MseLossBackward0>)
tensor(4.3730, grad_fn=<MseLossBackward0>)
tensor(3.3893, grad_fn=<MseLossBackward0>)
tensor(2.5758, grad_fn=<MseLossBackward0>)
tensor(1.9150, grad_fn=<MseLossBackward0>)
tensor(1.3892, grad_fn=<MseLossBackward0>)
tensor(0.9806, grad_fn=<MseLossBackward0>)
tensor(0.6716, grad_fn=<MseLossBackward0>)
tensor(0.4450, grad_fn=<MseLossBackward0>)
tensor(0.2848, grad_fn=<MseLossBackward0>)
tensor(0.1759, grad_fn=<MseLossBackward0>)
tensor(0.1053, grad_fn=<MseLossBackward0>)
tensor(0.0618, grad_fn=<MseLossBackward0>)
tensor(0.0366, grad_fn=<MseLossBackward0>)
tensor(0.0229, grad_fn=<MseLossBackward0>)
tensor(0.0160, grad_fn=<MseLossBackward0>)
tensor(0.0128, grad_fn=<MseLossBackward0>)
tensor(0.0115, grad_fn=<MseLossBackward0>)
tensor(0.0110, grad_fn=<MseLossBackward0>)
tensor(0.0108, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
tensor(0.0106, grad_fn=<MseLossBackward0>)
