tensor(4618.4121, grad_fn=<MseLossBackward0>)
tensor(4281.0615, grad_fn=<MseLossBackward0>)
tensor(3967.8691, grad_fn=<MseLossBackward0>)
tensor(3676.7544, grad_fn=<MseLossBackward0>)
tensor(3405.8013, grad_fn=<MseLossBackward0>)
tensor(3153.3208, grad_fn=<MseLossBackward0>)
tensor(2917.8198, grad_fn=<MseLossBackward0>)
tensor(2697.9688, grad_fn=<MseLossBackward0>)
tensor(2492.5842, grad_fn=<MseLossBackward0>)
tensor(2300.6108, grad_fn=<MseLossBackward0>)
tensor(2121.1011, grad_fn=<MseLossBackward0>)
tensor(1953.2043, grad_fn=<MseLossBackward0>)
tensor(1796.1525, grad_fn=<MseLossBackward0>)
tensor(1649.2625, grad_fn=<MseLossBackward0>)
tensor(1511.8984, grad_fn=<MseLossBackward0>)
tensor(1383.4890, grad_fn=<MseLossBackward0>)
tensor(1263.5118, grad_fn=<MseLossBackward0>)
tensor(1151.4932, grad_fn=<MseLossBackward0>)
tensor(1046.9884, grad_fn=<MseLossBackward0>)
tensor(949.5916, grad_fn=<MseLossBackward0>)
tensor(858.9277, grad_fn=<MseLossBackward0>)
tensor(774.6523, grad_fn=<MseLossBackward0>)
tensor(696.4285, grad_fn=<MseLossBackward0>)
tensor(623.9528, grad_fn=<MseLossBackward0>)
tensor(556.9315, grad_fn=<MseLossBackward0>)
tensor(495.0888, grad_fn=<MseLossBackward0>)
tensor(438.1625, grad_fn=<MseLossBackward0>)
tensor(385.9054, grad_fn=<MseLossBackward0>)
tensor(338.0810, grad_fn=<MseLossBackward0>)
tensor(294.4626, grad_fn=<MseLossBackward0>)
tensor(254.8323, grad_fn=<MseLossBackward0>)
tensor(218.9800, grad_fn=<MseLossBackward0>)
tensor(186.7027, grad_fn=<MseLossBackward0>)
tensor(157.8041, grad_fn=<MseLossBackward0>)
tensor(132.5100, grad_fn=<MseLossBackward0>)
tensor(118.2946, grad_fn=<MseLossBackward0>)
tensor(106.2564, grad_fn=<MseLossBackward0>)
tensor(94.9591, grad_fn=<MseLossBackward0>)
tensor(84.3681, grad_fn=<MseLossBackward0>)
tensor(74.4874, grad_fn=<MseLossBackward0>)
tensor(65.3158, grad_fn=<MseLossBackward0>)
tensor(56.8534, grad_fn=<MseLossBackward0>)
tensor(49.0933, grad_fn=<MseLossBackward0>)
tensor(42.1296, grad_fn=<MseLossBackward0>)
tensor(36.2900, grad_fn=<MseLossBackward0>)
tensor(31.8569, grad_fn=<MseLossBackward0>)
tensor(28.9171, grad_fn=<MseLossBackward0>)
tensor(26.1032, grad_fn=<MseLossBackward0>)
tensor(23.4263, grad_fn=<MseLossBackward0>)
tensor(20.8959, grad_fn=<MseLossBackward0>)
tensor(18.5189, grad_fn=<MseLossBackward0>)
tensor(16.3006, grad_fn=<MseLossBackward0>)
tensor(14.2440, grad_fn=<MseLossBackward0>)
tensor(12.3499, grad_fn=<MseLossBackward0>)
tensor(10.6177, grad_fn=<MseLossBackward0>)
tensor(9.0452, grad_fn=<MseLossBackward0>)
tensor(7.6291, grad_fn=<MseLossBackward0>)
tensor(6.3648, grad_fn=<MseLossBackward0>)
tensor(5.2463, grad_fn=<MseLossBackward0>)
tensor(4.2671, grad_fn=<MseLossBackward0>)
tensor(3.4197, grad_fn=<MseLossBackward0>)
tensor(2.6957, grad_fn=<MseLossBackward0>)
tensor(2.0862, grad_fn=<MseLossBackward0>)
tensor(1.5816, grad_fn=<MseLossBackward0>)
tensor(1.1718, grad_fn=<MseLossBackward0>)
tensor(0.8917, grad_fn=<MseLossBackward0>)
tensor(0.8780, grad_fn=<MseLossBackward0>)
tensor(0.8726, grad_fn=<MseLossBackward0>)
tensor(0.8691, grad_fn=<MseLossBackward0>)
tensor(0.8665, grad_fn=<MseLossBackward0>)
tensor(0.8642, grad_fn=<MseLossBackward0>)
tensor(0.8619, grad_fn=<MseLossBackward0>)
tensor(0.8595, grad_fn=<MseLossBackward0>)
tensor(0.8570, grad_fn=<MseLossBackward0>)
tensor(0.8544, grad_fn=<MseLossBackward0>)
tensor(0.8517, grad_fn=<MseLossBackward0>)
tensor(0.8489, grad_fn=<MseLossBackward0>)
tensor(0.8460, grad_fn=<MseLossBackward0>)
tensor(0.8430, grad_fn=<MseLossBackward0>)
tensor(0.8399, grad_fn=<MseLossBackward0>)
tensor(0.8368, grad_fn=<MseLossBackward0>)
tensor(0.8336, grad_fn=<MseLossBackward0>)
tensor(0.8303, grad_fn=<MseLossBackward0>)
tensor(0.8270, grad_fn=<MseLossBackward0>)
tensor(0.8236, grad_fn=<MseLossBackward0>)
tensor(0.8203, grad_fn=<MseLossBackward0>)
tensor(0.8169, grad_fn=<MseLossBackward0>)
tensor(0.8134, grad_fn=<MseLossBackward0>)
tensor(0.8100, grad_fn=<MseLossBackward0>)
tensor(0.8066, grad_fn=<MseLossBackward0>)
tensor(0.8031, grad_fn=<MseLossBackward0>)
tensor(0.7997, grad_fn=<MseLossBackward0>)
tensor(0.7962, grad_fn=<MseLossBackward0>)
