tensor(2040.2494, grad_fn=<MseLossBackward0>)
tensor(1747.1766, grad_fn=<MseLossBackward0>)
tensor(1487.3035, grad_fn=<MseLossBackward0>)
tensor(1257.6980, grad_fn=<MseLossBackward0>)
tensor(1055.6338, grad_fn=<MseLossBackward0>)
tensor(878.6552, grad_fn=<MseLossBackward0>)
tensor(724.5172, grad_fn=<MseLossBackward0>)
tensor(591.1577, grad_fn=<MseLossBackward0>)
tensor(476.6685, grad_fn=<MseLossBackward0>)
tensor(379.2694, grad_fn=<MseLossBackward0>)
tensor(297.2794, grad_fn=<MseLossBackward0>)
tensor(229.1060, grad_fn=<MseLossBackward0>)
tensor(173.2281, grad_fn=<MseLossBackward0>)
tensor(128.1821, grad_fn=<MseLossBackward0>)
tensor(92.5635, grad_fn=<MseLossBackward0>)
tensor(65.0244, grad_fn=<MseLossBackward0>)
tensor(44.2781, grad_fn=<MseLossBackward0>)
tensor(29.1114, grad_fn=<MseLossBackward0>)
tensor(18.4020, grad_fn=<MseLossBackward0>)
tensor(11.1360, grad_fn=<MseLossBackward0>)
tensor(6.4262, grad_fn=<MseLossBackward0>)
tensor(3.5284, grad_fn=<MseLossBackward0>)
tensor(1.8475, grad_fn=<MseLossBackward0>)
tensor(0.9353, grad_fn=<MseLossBackward0>)
tensor(0.4759, grad_fn=<MseLossBackward0>)
tensor(0.2631, grad_fn=<MseLossBackward0>)
tensor(0.1733, grad_fn=<MseLossBackward0>)
tensor(0.1391, grad_fn=<MseLossBackward0>)
tensor(0.1274, grad_fn=<MseLossBackward0>)
tensor(0.1239, grad_fn=<MseLossBackward0>)
tensor(0.1230, grad_fn=<MseLossBackward0>)
tensor(0.1228, grad_fn=<MseLossBackward0>)
tensor(0.1227, grad_fn=<MseLossBackward0>)
tensor(0.1227, grad_fn=<MseLossBackward0>)
tensor(0.1227, grad_fn=<MseLossBackward0>)
tensor(0.1227, grad_fn=<MseLossBackward0>)
tensor(0.1226, grad_fn=<MseLossBackward0>)
tensor(0.1226, grad_fn=<MseLossBackward0>)
