tensor(12625.9619, grad_fn=<MseLossBackward0>)
tensor(11577.1963, grad_fn=<MseLossBackward0>)
tensor(10596.3672, grad_fn=<MseLossBackward0>)
tensor(9679.4072, grad_fn=<MseLossBackward0>)
tensor(8822.4971, grad_fn=<MseLossBackward0>)
tensor(8022.2075, grad_fn=<MseLossBackward0>)
tensor(7275.3965, grad_fn=<MseLossBackward0>)
tensor(6579.2124, grad_fn=<MseLossBackward0>)
tensor(5931.1108, grad_fn=<MseLossBackward0>)
tensor(5328.5645, grad_fn=<MseLossBackward0>)
tensor(4769.3628, grad_fn=<MseLossBackward0>)
tensor(4251.4438, grad_fn=<MseLossBackward0>)
tensor(3772.8967, grad_fn=<MseLossBackward0>)
tensor(3331.9397, grad_fn=<MseLossBackward0>)
tensor(2926.8655, grad_fn=<MseLossBackward0>)
tensor(2556.0676, grad_fn=<MseLossBackward0>)
tensor(2218.0056, grad_fn=<MseLossBackward0>)
tensor(1911.1711, grad_fn=<MseLossBackward0>)
tensor(1634.1063, grad_fn=<MseLossBackward0>)
tensor(1385.3656, grad_fn=<MseLossBackward0>)
tensor(1163.4895, grad_fn=<MseLossBackward0>)
tensor(967.0613, grad_fn=<MseLossBackward0>)
tensor(794.5856, grad_fn=<MseLossBackward0>)
tensor(644.5601, grad_fn=<MseLossBackward0>)
tensor(515.4822, grad_fn=<MseLossBackward0>)
tensor(405.7437, grad_fn=<MseLossBackward0>)
